x,in,out
10000,0,0
20000,0,0
30000,0,0
40000,0,0
50000,1269.488889,1269.488889
60000,535.9111111,535.9111111
70000,354.7555556,354.7555556
80000,382.4666667,382.4666667
90000,439.0888889,439.0888889
100000,440.6444444,440.6444444
110000,423.5555556,423.5555556
120000,350.1111111,350.1111111
130000,407.8444444,407.8444444
140000,413.0444444,413.0444444
150000,349.2222222,349.2222222
160000,339.3111111,339.3111111
170000,299.1111111,299.0888889
180000,319.5111111,319.5111111
190000,332.6666667,332.6666667
200000,313.0444444,313.0444444
210000,259.4222222,259.4222222
220000,294.8888889,294.8888889
230000,347.7777778,347.7777778
240000,355.4,355.4
250000,339.5555556,339.5555556
260000,472.5111111,472.5111111
270000,445.3555556,445.3555556
280000,437.3555556,437.3555556
290000,392.0666667,392.0888889
300000,512.6888889,512.7333333
310000,519.1333333,519.1333333
320000,466.2222222,466.2222222
330000,501.6666667,501.6666667
340000,441.3333333,441.3333333
350000,548.2444444,548.2444444
360000,536,536
370000,507.9777778,507.9777778
380000,491.3111111,491.3111111
390000,465.0444444,465.0444444
400000,573.8444444,573.8444444
410000,657.8222222,657.8222222
420000,399.2222222,399.2
430000,428.2444444,428.2444444
440000,477.5777778,477.5777778
450000,505.7111111,505.7111111
460000,504.9777778,504.9777778
470000,566.0888889,566.0888889
480000,514.9111111,514.9111111
490000,507.5777778,507.5777778
500000,521.1777778,521.1777778
510000,520.4666667,520.4666667
520000,528.5333333,528.5333333
530000,504.1777778,504.1777778
540000,442.1333333,442.1333333
550000,632.7111111,632.7111111
560000,506.1777778,506.1777778
570000,468.3333333,468.3333333
580000,458.0666667,458.0666667
590000,469.6666667,469.6666667
600000,513.9555556,513.9555556
610000,0,0
620000,0,0
630000,0,0
640000,0,0
650000,0,0
660000,0,0
670000,0,0
680000,0,0
690000,0,0
700000,0,0
710000,0,0
720000,0,0
730000,0,0
740000,0,0
750000,0,0
760000,0,0
770000,0,0
780000,0,0
790000,0,0
800000,0,0
810000,0,0
820000,0,0
830000,0,0
840000,0,0
850000,0,0
860000,0,0
870000,0,0
880000,0,0
890000,0,0
900000,0,0
910000,0,0
920000,0,0
930000,0,0
940000,0,0
950000,0,0
960000,0,0
970000,0,0
980000,0,0
990000,0,0
